timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1756391737941,5,HTTP Request,200,OK,Thread Group 1-35,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391737959,5,HTTP Request,200,OK,Thread Group 1-42,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391737967,5,HTTP Request,200,OK,Thread Group 1-39,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391738024,6,HTTP Request,200,OK,Thread Group 1-38,text,true,,253,123,50,100,http://localhost:3000/test,6,0,0
1756391738048,4,HTTP Request,200,OK,Thread Group 1-44,text,true,,253,123,50,100,http://localhost:3000/test,4,0,0
1756391738054,6,HTTP Request,200,OK,Thread Group 1-45,text,true,,253,123,50,100,http://localhost:3000/test,6,0,0
1756391738057,7,HTTP Request,200,OK,Thread Group 1-40,text,true,,253,123,50,100,http://localhost:3000/test,7,0,0
1756391738069,5,HTTP Request,200,OK,Thread Group 1-41,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391738088,8,HTTP Request,200,OK,Thread Group 1-43,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391738113,7,HTTP Request,200,OK,Thread Group 1-48,text,true,,253,123,50,100,http://localhost:3000/test,7,0,0
1756391738134,8,HTTP Request,200,OK,Thread Group 1-46,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391735214,2947,JDBC Request,200,OK,Thread Group 2-7,text,true,,2499,0,50,100,null,2947,0,2226
1756391738158,8,HTTP Request,200,OK,Thread Group 1-50,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391738169,6,HTTP Request,200,OK,Thread Group 1-47,text,true,,253,123,50,100,http://localhost:3000/test,6,0,0
1756391738215,8,HTTP Request,200,OK,Thread Group 1-2,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391738217,12,HTTP Request,200,OK,Thread Group 1-49,text,true,,253,123,50,100,http://localhost:3000/test,12,0,0
1756391738257,5,HTTP Request,200,OK,Thread Group 1-1,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391738285,5,HTTP Request,200,OK,Thread Group 1-3,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391738339,10,HTTP Request,200,OK,Thread Group 1-7,text,true,,253,123,50,100,http://localhost:3000/test,10,0,0
1756391738342,14,HTTP Request,200,OK,Thread Group 1-9,text,true,,253,123,50,100,http://localhost:3000/test,14,0,0
